"CpG","PC10_pValue_C1"
"cg22013719",0.555424423075274
"cg26605774",0.749522451947188
"cg14128415",0.370615751360955
"cg19296501",0.409752989493189
"cg22471401",0.924506259727557
"cg01020413",0.0917265677695309
"cg05584675",0.605762630947588
"cg06179710",0.360185108482065
"cg21824733",0.996082409042834
"cg22800273",0.568410078818482
"cg08325929",0.270104494024493
"cg00573529",0.0278198220452231
"cg08894790",0.00749172729534724
"cg19332650",0.779967148116542
"cg18059802",0.473196530936814
"cg16933388",0.731681481261377
"cg06933862",0.777111421202623
"cg09940476",0.917648439117815
"cg14338073",0.330003253674528
"cg05518022",0.0122454617001919
"cg14366571",0.24317891992552
"cg26947474",0.590456514793617
"cg02112027",0.538860150680844
"cg07198150",0.565334305576088
"cg15146720",0.581918602812079
"cg25081875",0.0959037206317798
"cg09229797",0.917680949518587
"cg19728223",0.246498793383288
"cg15821554",0.360223247356149
"cg22483742",0.130592404453617
"cg11552023",0.879821654365419
"cg02662658",0.84506820180417
"cg18356170",0.882840617393604
"cg19878711",0.363300034168736
"cg08658371",0.0361624870538256
"cg04779233",0.354392534444078
"cg11856821",0.736909667188593
"cg17837967",0.0029292572493881
"cg15279475",0.11444136926843
"cg22730398",0.927881379219026
"cg17327217",0.160257902934009
"cg24552697",0.668982981043598
"cg01732952",0.0209580406958941
"cg02807849",0.0784138808535904
"cg09820729",0.589611419400002
"cg10493018",0.581640604833246
"cg24766041",0.341508517876947
"cg00003181",0.805543747291386
"cg00379630",0.394736412093679
"cg00517612",0.504925842317021
"cg01084722",0.878968745615236
"cg03313172",0.968884883951313
"cg09129100",0.676356777846292
"cg07002622",0.31251434676933
"cg10638793",0.774552133510511
"cg19204946",0.945957107929395
"cg00716704",0.699822244862799
"cg18811319",0.671203830344809
"cg13629201",0.634436006743094
"cg02283353",0.292936299854451
"cg02232988",0.790056035520001
"cg14945473",0.561701381567645
"cg05627365",0.185020000252974
"cg24350771",0.948328376955137
"cg03075736",0.0966262769383418
"cg04065206",0.336277867353544
"cg06107816",0.129003337511418
"cg12472181",0.216114375003332
"cg13580862",0.940585912358369
"cg18670765",0.553764681480765
"cg26795789",0.388221619508097
"cg02338858",0.153678681835539
"cg20822540",0.225582268378849
"cg27593593",0.689591281907693
"cg04381049",0.649461369352779
"cg02127246",0.297219076918795
"cg03515060",0.746719716952157
"cg18918090",0.413020063273885
"cg26011222",0.818650994274396
"cg06795971",0.781857421424314
"cg05542101",0.212192319715263
"cg20815701",0.349653015303951
"cg21782089",0.79378889554011
"cg23168555",0.860770442629979
"cg21724451",0.99519318045888
"cg25921758",0.052952966768956
"cg14930000",0.0760795573355119
"cg13302670",0.51856150250991
"cg18031747",0.523688345878723
"cg18575730",0.818758760022856
"cg25918541",0.13431936920753
"cg26242888",0.497082335436689
"cg21186900",0.066631175449989
"cg27300156",0.433576807931392
"cg02851558",0.482109573896942
"cg04482148",0.57891059149835
"cg07002295",0.65710368186686
"cg20064704",0.106332691066778
"cg20469879",0.248592604675958
"cg22208304",0.811090310555646
"cg18638598",0.788203311487234
"cg00140786",0.0459825083771719
"cg03913423",0.143938365085995
"cg07344627",0.537815695277852
"cg00751770",0.845248526317072
"cg08816228",0.379274662790572
"cg09352720",0.556151848697997
"cg01144764",0.0516474736580754
"cg13606421",0.10543566440202
"cg18065597",0.159395510573811
"cg06237151",0.933200962527783
"cg25302936",0.164782768837987
"cg10055139",0.863129234040873
"cg18524251",0.604841278876366
"cg11518938",0.415308477089658
"cg14257449",0.362346246473895
"cg04830440",0.412203186915465
"cg21616161",0.468372119738825
"cg06423425",0.388877193201461
"cg11801512",0.00714265872341008
"cg00540295",0.980354072896633
"cg10938600",0.156323564071725
"cg27604626",0.245139030846517
"cg17212304",0.243312989794256
"cg01025800",0.336855454870375
"cg08951273",0.104304754124851
"cg12633998",0.541231881249777
"cg16655295",0.615301777660016
"cg18436827",0.761007563478418
"cg24344662",0.627210141218389
"cg24725337",0.456398165650759
"cg25098585",0.481913528172165
"cg23142890",0.95944565343218
"cg04358027",0.964303672506084
"cg15166642",0.934608692917194
"cg22672625",0.961086185079591
"cg23618440",0.325512436831025
"cg03817774",0.332675400295267
"cg11818615",0.69590492673865
"cg14469389",0.107655223250721
"cg26797270",0.89899187375245
"cg00412142",0.619469899510904
"cg03689092",0.704074611695796
"cg04575155",0.731276390404988
"cg16073236",0.0802178879132993
"cg21396211",0.547833076760443
"cg24146100",0.581218147836129
"cg24412501",0.0912886073364396
"cg05825127",0.816212902521326
"cg13667095",0.719697865399369
"cg13851989",0.217700678846925
"cg13332114",0.0603807618034799
"cg14571092",0.662444293592762
"cg15363464",0.0273243848038346
"cg00109069",0.846291144772749
"cg00273544",0.88822221107856
