"CpG","PC10_pValue_C2"
"cg00249383",0.281844762610595
"cg21370527",0.519479112797356
"cg03214420",0.105019105158808
"cg13074458",0.984184786396478
"cg27083689",0.950558758743057
"cg22444338",0.444949839859441
"cg11771529",0.81343275435353
"cg22872002",0.263835894186953
"cg24974356",0.852068295218708
"cg06410510",0.399161771991295
"cg02503850",0.735858756104523
"cg03653726",0.991363568905455
"cg25625370",0.72855835534481
"cg25345659",0.167267547898882
"cg25818697",0.441675308342337
"cg05337694",0.509901109773394
"cg27033479",0.373417887358382
"cg20114524",0.107780256200596
"cg09789874",0.0812323687992111
"cg21919257",0.758117193707506
"cg23785275",0.523295159201988
"cg18314778",0.431449389985279
"cg14591419",0.689779987435546
"cg06653632",0.229503119960681
"cg14864369",0.687704048696785
"cg21459053",0.0730382357088478
"cg22372170",0.954536335631749
"cg03469655",0.0998049365850968
"cg13486641",0.585935322508832
"cg01615827",0.134707035738391
"cg26861214",0.020659474531928
"cg13068379",0.467275965980749
"cg01871963",0.0930949714461184
"cg02433979",0.0606703229976033
"cg09385371",0.09717277886243
"cg22945957",0.855790411199012
"cg23006065",0.155297161995991
"cg26393356",0.255031545160262
"cg13979305",0.029884107809221
"cg25769020",0.349038868981655
"cg13109654",0.0446382617832298
"cg15029037",0.231637022771567
"cg02361803",0.407460249285925
"cg20395967",0.795398498873569
"cg00067538",0.737984609747168
"cg14327359",0.821851231006173
"cg18875460",0.857212532927477
"cg14517863",0.352021377319134
"cg24309428",0.592838953068101
"cg00546180",0.76465629595845
"cg21918513",0.647475594825419
"cg18994566",0.514283022955832
"cg10636054",0.899383487649184
"cg04040925",0.926180310018983
"cg07117700",0.543923114997371
"cg18062874",0.0050215299843248
"cg03639429",0.2522525195545
"cg11942910",0.0876474955827973
"cg07746628",0.907054734649927
"cg14905514",0.14169891140092
"cg13149573",0.955734415785837
"cg13799581",0.407798033466951
"cg08619893",0.0531096043004643
"cg12598937",0.219311095259385
"cg03612649",0.65189324019102
"cg01002242",0.845004206683973
"cg22471401",0.0996299426678899
"cg01894875",0.0525680835582314
"cg04096653",0.837371519068154
"cg20237547",0.269004515743645
"cg11512009",0.423621195857022
"cg25777549",0.337094110213485
"cg03102663",0.327934060606433
"cg06509828",0.491154034292404
"cg04965050",0.458952535125509
"cg04558322",0.53662875074682
"cg09628359",0.434135830316624
"cg24735225",0.184491100892784
"cg01835394",0.153153712811329
"cg08802944",0.671767306988408
"cg02652361",0.575121859542378
"cg26512635",0.154004430970482
"cg08350126",0.273103297524342
"cg17702388",0.941286021331315
"cg01104425",0.74902470536003
"cg24452663",0.315362407791575
"cg20823859",0.676740568510322
"cg15033552",0.633047702637065
"cg05911704",0.0460688150356088
"cg01089097",0.0708926010725631
"cg20939723",0.652534392809016
"cg06588201",0.644074266602115
"cg04622795",0.308426602253929
"cg20461188",0.0949576767460992
"cg15011943",0.754799800283537
"cg07904475",0.409750405545076
"cg08795360",0.127685235213821
"cg05584675",0.462399244266428
"cg01046309",0.9291331940761
"cg26723570",0.654850446100009
"cg04403488",0.558561108021141
"cg00573529",0.489012425782556
"cg05284912",0.364101756296522
"cg12101766",0.446146669268143
"cg12773197",0.229535168992832
"cg14141399",0.76820765135802
"cg00833552",0.0633720550831013
"cg16962557",0.316975466868812
"cg04487600",0.547510745164108
"cg12080751",0.441336601388554
"cg25678150",0.192367917729965
"cg08236416",0.547357500595498
"cg16067696",0.839283568249447
"cg25777714",0.625610354565386
"cg22882201",0.158819798249646
"cg08657020",0.88215290115905
"cg09434995",0.694477872848437
"cg27498364",0.0440729467055679
"cg27116469",0.696393075243128
"cg04444027",0.566988124430184
"cg14151976",0.565254910624729
"cg24174281",0.591958319339782
"cg03753942",0.0610719381647429
"cg13748354",0.445085407802326
"cg11154829",0.545163996893085
"cg18411009",0.876227471896528
"cg12859211",0.780973101094159
"cg01300105",0.156440735726086
"cg06373816",0.822197756944851
"cg01711160",0.647765163637008
"cg11833244",0.280266187660983
"cg01741056",0.583291983208829
"cg03559682",0.281522249399168
"cg02456521",0.00583589643862185
"cg26405841",0.862466291063946
"cg06528803",0.0984931856695476
"cg15882762",0.0454564158302899
"cg25885684",0.39998035176208
"cg08257133",0.57354137142543
"cg09816500",0.793722096965418
"cg07399537",0.0864095476596001
"cg19140928",0.710221309098924
"cg10742917",0.882331046264308
"cg11755251",0.513725137588265
"cg07087116",0.27649748521921
"cg19928955",0.185091706553437
"cg01333287",0.541291066471201
"cg04740028",0.070404210149188
"cg09279389",0.289221825448162
"cg07645296",0.807797059649841
"cg04169021",0.953439080653921
"cg23375593",0.616415586513221
"cg00362381",0.248276392654156
"cg17050756",0.196995876720717
