"CpG","p_value_cluster1","FDR_pval_cluster1","bonferroni_pval_cluster1","PC10_pValue_C1"
"cg00003181",2.74224573439504e-07,0.00260910130936036,0.127845964158658,0.805543747291386
"cg00013618",7.43161930593791e-05,0.0465058765772082,1,0.470514130931328
"cg00014900",6.25349478820151e-06,0.0138172301029035,1,0.00661013685792282
"cg00109069",3.0857454329317e-06,0.0092515851024401,1,0.846291144772749
"cg00135870",2.83850984765115e-05,0.0304215824727263,1,0.82804107069688
"cg00140786",1.42964185300377e-06,0.00647098930725274,0.666511898647033,0.0459825083771719
"cg00155063",3.42397378287884e-05,0.0335354494399614,1,0.228731721543848
"cg00209484",5.71268944935544e-05,0.0416141755546024,1,0.36709535012864
"cg00231405",5.37145232486146e-06,0.0129842766968456,1,0.174303108757033
"cg00237489",1.90790920707476e-05,0.0246177525206613,1,0.555781810259537
"cg00249584",5.63268035940048e-06,0.0131960114456067,1,0.882445576253517
"cg00273544",3.13539731362015e-06,0.0092515851024401,1,0.88822221107856
"cg00290607",6.18825470049666e-06,0.0137676485575796,1,0.359963469997551
"cg00295835",4.23104393513139e-05,0.0364501661970248,1,0.430152607906317
"cg00318380",1.24974466789953e-05,0.0206392247363454,1,0.0706119952158797
"cg00369716",3.22566996721162e-05,0.0323405670912637,1,0.108888267758906
"cg00376357",5.4030481590618e-06,0.0129842766968456,1,0.258006934814977
"cg00377065",3.4469603484977e-06,0.00973941780068343,1,0.337944212964852
"cg00379630",2.68871044074056e-07,0.00260910130936036,0.125350100586722,0.394736412093679
"cg00386408",3.11555143254296e-05,0.0315760460394439,1,0.459738660842312
"cg00399951",7.34981234525003e-06,0.0152044217343232,1,0.328094637805414
"cg00400263",5.36633979761041e-05,0.0404341608343031,1,0.309811338411813
"cg00408764",6.83675388115757e-05,0.0451344122214128,1,0.600839194603253
"cg00412142",2.60897083295901e-06,0.00823045846398901,1,0.619469899510904
"cg00431050",3.51946858601737e-05,0.0339009902896399,1,0.608146749441184
"cg00480231",2.6346612112644e-05,0.0293151018769061,1,0.955418275167308
"cg00517612",3.16299690074512e-07,0.00282167509299772,0.147461762209948,0.504925842317021
"cg00525964",1.95227597206399e-05,0.0247328431701081,1,0.653581563998609
"cg00540295",2.02683425518176e-06,0.0076823444819027,0.944928371274032,0.980354072896633
"cg00550493",1.10233420179192e-05,0.0193931368257815,1,0.318873710494059
"cg00573529",5.30142769809758e-10,2.05964442141864e-05,0.000247157330570237,0.0278198220452231
"cg00614360",6.29673958930257e-05,0.0439529608775671,1,0.545150443784222
"cg00663739",2.20115443254693e-05,0.0264829426112374,1,0.871564496943873
"cg00666294",5.07992331086486e-06,0.0128016538747838,1,0.770687644336192
"cg00678539",2.74656553263352e-05,0.029892344528319,1,0.61589428876986
"cg00705851",8.71921168177085e-05,0.0498200950113478,1,0.809750002319979
"cg00716704",3.81947970395284e-07,0.00312399265491254,0.178067581330015,0.699822244862799
"cg00740089",6.94365225908979e-05,0.0451344122214128,1,0.673466087286551
"cg00751770",1.57399666961463e-06,0.00691954457003124,0.733811413344366,0.845248526317072
"cg00788521",7.56595925833364e-05,0.0468435365188376,1,0.716633048779361
"cg00791283",5.32672877814044e-05,0.0404341608343031,1,0.302402076288373
"cg00804587",1.01822719416334e-05,0.0187416320233444,1,0.149848549194349
"cg00822255",4.17678067580989e-05,0.0362909143448748,1,0.0419245596394449
"cg00850167",8.41419540664849e-05,0.0490960403797019,1,0.00795201417261971
"cg00879547",1.19014461794387e-05,0.0203991225068747,1,0.458221965447889
"cg00883712",2.19269032784054e-05,0.0264829426112374,1,0.0013692146203215
"cg00927226",6.11557431447534e-06,0.0137676485575796,1,0.849046096979789
"cg00930347",3.94518204991631e-05,0.0356449491920433,1,0.133715102775694
"cg00948250",2.54497364629532e-05,0.0287285621952953,1,0.479464704341432
"cg01020413",3.58169774008047e-12,2.6516426213113e-07,1.66981972170517e-06,0.0917265677695309
"cg01025800",2.22819544785401e-06,0.00789606962825662,1,0.336855454870375
"cg01049237",4.39993249042972e-05,0.0370229236660648,1,0.908610876727297
"cg01059717",6.94422537365074e-05,0.0451344122214128,1,0.158890974863814
"cg01084722",3.17862037116325e-07,0.00282167509299772,0.148190142461965,0.878968745615236
"cg01107872",2.00637701341672e-05,0.0251158616284116,1,0.104111532759202
"cg01138164",4.08182067573796e-05,0.0360968480759434,1,0.373163262527262
"cg01144764",1.62344559218702e-06,0.00700800876007331,0.756864946087917,0.0516474736580754
"cg01154272",1.34295738672061e-05,0.0210807683604589,1,0.0744299776433968
"cg01154445",7.69715435200167e-05,0.0472124778974766,1,0.850965496182963
"cg01174447",5.71082770793777e-05,0.0416141755546024,1,0.336348943823917
"cg01184194",4.81479679992033e-05,0.0385191669199703,1,0.363360043801914
"cg01198111",6.99392401661478e-06,0.0149570198250549,1,0.2564397269344
"cg01205935",1.76635414448693e-05,0.0240084606223646,1,0.640293960130933
"cg01550348",8.34734120708821e-05,0.048879253790801,1,0.243662498488299
"cg01575519",4.6575278855405e-05,0.0379839655971146,1,0.963285401695865
"cg01602430",4.29463871561033e-05,0.0367210683133623,1,0.0115889888093624
"cg01622960",2.20402903701132e-05,0.0264829426112374,1,0.00851283495047056
"cg01648750",1.48338670196996e-05,0.0218850705993264,1,0.265028179799381
"cg01681847",7.25830538064736e-06,0.0151093336925427,1,0.212358335509179
"cg01708377",2.76348171993795e-05,0.029892344528319,1,0.897166729173625
"cg01732952",2.26410933609016e-07,0.00240561010901491,0.105554814946926,0.0209580406958941
"cg01772115",2.01853536046081e-05,0.0251620147557506,1,0.054432679988752
"cg01809281",5.73036848846291e-05,0.0416778371706366,1,0.977502209380237
"cg01837218",6.24970625964058e-05,0.043748788372384,1,0.711156129239346
"cg01841118",7.55348483616824e-05,0.0468435365188376,1,0.283171495371789
"cg01906994",9.57933930748902e-06,0.0180079604806659,1,0.640251973653592
"cg01932843",4.34065584750942e-05,0.036852785354806,1,0.316269146392204
"cg01933318",4.64042131429074e-06,0.0121483508010607,1,0.817177002394823
"cg02041593",4.56014984324348e-05,0.0375615353051007,1,0.224296837802883
"cg02079463",5.37644675042533e-05,0.0404341608343031,1,0.661574460968063
"cg02112027",1.55462109149952e-08,0.000315121019324739,0.007247783444469,0.538860150680844
"cg02122052",1.23350046354258e-05,0.0206392247363454,1,0.0325404690380079
"cg02127246",8.43329735864244e-07,0.0051732620108886,0.393167912827534,0.297219076918795
"cg02166981",2.39304285746021e-05,0.027547114013177,1,0.488375697646905
"cg02185971",1.51714913591656e-05,0.0222424082234756,1,0.0992166620566103
"cg02198625",3.92704321944626e-05,0.0355499590736858,1,0.290859034549902
